batch_id,legacy_code,affected_row_count,current_target_code,current_resolution_type,current_confidence,candidate_rank,candidate_code,candidate_confidence,candidate_heuristic,review_status,approved_target_code,review_notes
legacy-shadow-20260421T025306Z,運費,1,001,analyst_review,0.60,,,,,,,Named residue approval: sales rows explicitly label this code as 運費 and the catalog contains product code 001 with the same name.
legacy-shadow-20260421T025306Z,000,2,001,analyst_review,0.60,1,0000,0.60,normalized-substring,,,Named residue approval: sales rows for code 000 are labeled 運費 and align with catalog product code 001.
legacy-shadow-20260421T025306Z,000,2,001,analyst_review,0.60,2,0001,0.60,normalized-substring,,,Named residue approval: sales rows for code 000 are labeled 運費 and align with catalog product code 001.
legacy-shadow-20260421T025306Z,000,2,001,analyst_review,0.60,3,0005,0.60,normalized-substring,,,Named residue approval: sales rows for code 000 are labeled 運費 and align with catalog product code 001.
legacy-shadow-20260421T025306Z,000,2,001,analyst_review,0.60,4,0006,0.60,normalized-substring,,,Named residue approval: sales rows for code 000 are labeled 運費 and align with catalog product code 001.
legacy-shadow-20260421T025306Z,000,2,001,analyst_review,0.60,5,1000VC 31-28,0.60,normalized-substring,,,Named residue approval: sales rows for code 000 are labeled 運費 and align with catalog product code 001.
legacy-shadow-20260421T025306Z,225L*22M/M,1,225L*22M/M,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
legacy-shadow-20260421T025306Z,23100-0040,5,23100-0040,analyst_review,0.60,1,0000,0.60,normalized-substring,,,Final ambiguous-tail resolution: keep this residue as a synthetic self-target placeholder rather than forcing a weak numeric candidate.
legacy-shadow-20260421T025306Z,23100-0040,5,23100-0040,analyst_review,0.60,2,004,0.60,normalized-substring,,,Final ambiguous-tail resolution: keep this residue as a synthetic self-target placeholder rather than forcing a weak numeric candidate.
legacy-shadow-20260421T025306Z,23100-9010-M1,4,23100-9010-M1,analyst_review,0.60,1,009,0.60,normalized-substring,,,Final ambiguous-tail resolution: keep this residue as a synthetic self-target placeholder rather than forcing a weak numeric candidate.
legacy-shadow-20260421T025306Z,23100-9010-M1,4,23100-9010-M1,analyst_review,0.60,2,010,0.60,normalized-substring,,,Final ambiguous-tail resolution: keep this residue as a synthetic self-target placeholder rather than forcing a weak numeric candidate.
legacy-shadow-20260421T025306Z,23100GAKA9010,2,23100GAKA9010,analyst_review,0.60,1,010,0.60,normalized-substring,,,Final ambiguous-tail resolution: keep this residue as a synthetic self-target placeholder rather than forcing a weak numeric candidate.
legacy-shadow-20260421T025306Z,3V-0630-M,1,3V-0630-M,analyst_review,0.60,,,,,,,Synthetic-review bulk no-candidate pass: create an upstream normalized product placeholder for a residue code with no review candidates.
